record_type,record_id,parent_id,name,email,department_id,department,designation,date,period,category,type,status,priority,amount,monthly_limit,used_amount,remaining_amount,annual_budget,monthly_budget,actual_spend,basic_salary,hra,other_allowances,gross_salary,tds,other_deductions,net_salary,reported_salary,reported_tds,difference,vendor_id,vendor_name,invoice_id,purchase_order,gst_rate,gst_amount,transaction_id,gateway_reference,direction,approver_role,recipient_user_id,sender_user_id,sender_role,recipient_role,entity_type,entity_id,check,result,reason,recommended_action,message,allowance_type
department,D001,,Engineering,,D001,,,,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department,D002,,Marketing,,D002,,,,,,,,,,,,,2800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department,D003,,Sales,,D003,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department,D004,,Operations,,D004,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department,D005,,HR,,D005,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0001,,Rahul Sethi,ENG@example.com,,Engineering,Software Engineer,2026-01-29,,,,,,,,,,,,,64586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0002,,Arjun Nair,MAR@example.com,,Marketing,Product Manager,2026-01-24,,,,,,,,,,,,,136521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0003,,Vivaan Sharma,ENG@example.com,,Engineering,Engineering Manager,2025-03-08,,,,,,,,,,,,,162449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0004,,Kavya Arora,ENG@example.com,,Engineering,Data Analyst,2024-08-26,,,,,,,,,,,,,73476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0005,,Riya Singh,ENG@example.com,,Engineering,Finance Executive,2024-07-22,,,,,,,,,,,,,70425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0006,,Rahul Sharma,MAR@example.com,,Marketing,HR Executive,2025-08-26,,,,,,,,,,,,,56339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0007,,Rahul Malhotra,MAR@example.com,,Marketing,Operations Analyst,2024-12-14,,,,,,,,,,,,,50298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0008,,Aditya Goyal,MAR@example.com,,Marketing,Marketing Executive,2024-04-14,,,,,,,,,,,,,64759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0009,,Diya Arora,ENG@example.com,,Engineering,Marketing Executive,2026-05-17,,,,,,,,,,,,,60916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0010,,Aditi Nair,SAL@example.com,,Sales,Software Engineer,2026-01-17,,,,,,,,,,,,,70006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0011,,Riya Jain,ENG@example.com,,Engineering,Operations Analyst,2024-03-21,,,,,,,,,,,,,49783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0012,,Ishaan Kapoor,HR@example.com,,HR,Marketing Executive,2025-08-14,,,,,,,,,,,,,66263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0013,,Vikram Kapoor,ENG@example.com,,Engineering,Data Analyst,2026-03-02,,,,,,,,,,,,,77567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0014,,Rahul Patel,MAR@example.com,,Marketing,Senior Software Engineer,2025-01-24,,,,,,,,,,,,,100073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0015,,Diya Bansal,SAL@example.com,,Sales,Product Manager,2025-01-14,,,,,,,,,,,,,113454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0016,,Rohan Nair,SAL@example.com,,Sales,Senior Software Engineer,2025-09-15,,,,,,,,,,,,,99314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0017,,Ira Khanna,MAR@example.com,,Marketing,Product Manager,2025-04-18,,,,,,,,,,,,,117127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0018,,Ananya Verma,HR@example.com,,HR,Data Analyst,2025-12-02,,,,,,,,,,,,,72183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0019,,Ananya Goyal,MAR@example.com,,Marketing,Software Engineer,2026-04-04,,,,,,,,,,,,,65519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0020,,Sara Agarwal,SAL@example.com,,Sales,Senior Software Engineer,2024-08-04,,,,,,,,,,,,,102144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0021,,Aditi Malhotra,MAR@example.com,,Marketing,HR Executive,2025-02-09,,,,,,,,,,,,,63177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0022,,Riya Nair,SAL@example.com,,Sales,Product Manager,2024-09-09,,,,,,,,,,,,,112184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0023,,Sara Goyal,SAL@example.com,,Sales,Engineering Manager,2025-03-14,,,,,,,,,,,,,145955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employee,EMP0024,,Kavya Mishra,SAL@example.com,,Sales,Data Analyst,2024-05-21,,,,,,,,,,,,,69411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
